supplier_id,name,ingredient,continent,city,district,size,longitude,latitude,approved
4000027,Amazonia Cocoa,cacao,South America,Manaus,Centro,L,-60.0217,-3.1190,True
4000028,Island Palms,coconut,Asia,Phuket,Old Town,M,98.3923,7.8804,True
4000029,Iberian Nuts,almonds,Europe,Seville,Triana,S,-5.9845,37.3891,True
4000030,Cane Fields,cane sugar,South America,Recife,Boa Viagem,XL,-34.8811,-8.0578,True
4000031,Veracruz Orchid,vanilla,North America,Veracruz,Reforma,M,-96.1342,19.1738,True
4000032,Andes Bean Co,cacao,South America,Quito,La Mariscal,L,-78.4678,-0.1807,True
4000033,Pacific Copra,coconut,Asia,Davao City,Poblacion,S,125.6091,7.0707,True
4000034,Provence Almonds,almonds,Europe,Marseille,Le Panier,M,5.3698,43.2965,True
4000035,Sugar Mill Estate,cane sugar,South America,Cali,San Antonio,XL,-76.5225,3.4516,True
4000036,Papantla Gold,vanilla,North America,Poza Rica,Obrera,S,-97.4507,20.5332,True
4000037,Bahia Choco,cacao,South America,Salvador,Pelourinho,M,-38.5016,-12.9714,True
4000038,Cebu Nutrients,coconut,Asia,Cebu City,Lahug,L,123.8854,10.3157,True
4000039,Sicilian Harvest,almonds,Europe,Palermo,Kalsa,M,13.3613,38.1157,True
4000040,Sweet Valley,cane sugar,South America,Asuncion,Villa Morra,XL,-57.5759,-25.2637,True
4000041,Madagascar Origin,vanilla,Africa,Antananarivo,Isoraka,M,47.5215,-18.8792,True
4000042,Guyana Cocoa,cacao,South America,Georgetown,Bourda,L,-58.1551,6.8013,True
4000043,Bali Husk,coconut,Asia,Denpasar,Renon,S,115.2126,-8.6705,True
4000044,Algarve Almond Co,almonds,Europe,Faro,Old Town,M,-7.9304,37.0179,True
4000045,Cane Coast,cane sugar,South America,Barranquilla,El Prado,XL,-74.7813,10.9685,True
4000046,Highland Vanilla,vanilla,North America,Oaxaca,Jalatlaco,S,-96.7266,17.0732,True
4000047,Orinoco Cacao,cacao,South America,Ciudad Bolivar,Catedral,L,-63.5497,8.1283,True
