supplierID,Name,Ingredient,City,Continent
4000027,Wheat Flour Co.,flour,Tokyo,Asia
4000028,Sweet Sugar Co.,sugar,New York,North America
4000029,Dairy Butter Co.,butter,Nagoya,Asia
4000030,Poultry Eggs Co.,eggs,New York,North America
4000031,Extract Vanilla Co.,vanilla,Nagoya,Asia
4000032,Cacao Chocolate Co.,chocolate,Chicago,North America
4000033,Almond Almonds Co.,almonds,Tokyo,Asia
4000034,Ceylon Cinnamon Co.,cinnamon,New York,North America
4000035,Honey Honey Co.,honey,Tokyo,Asia
4000036,Field Oats Co.,oats,New York,North America
4000037,Mill Flour Co.,flour,Nagoya,Asia
4000038,Sweet Sugar Co.,sugar,Chicago,North America
4000039,Creamery Butter Co.,butter,Tokyo,Asia
4000040,Henhouse Eggs Co.,eggs,Amsterdam,Europe
4000041,Vanilla Vanilla Co.,vanilla,Osaka,Asia
4000042,Chocolate Chocolate Co.,chocolate,Paris,Europe
4000043,Nut Almonds Co.,almonds,Tokyo,Asia
4000044,Bark Cinnamon Co.,cinnamon,Berlin,Europe
4000045,Honey Honey Co.,honey,Osaka,Asia
4000046,Field Oats Co.,oats,Milan,Europe
4000047,Mill Flour Co.,flour,Stockholm,Europe
